***********************************************
   413 :-2.187144+-0.000000i   -24.401028+0.000000i
   414 :0.021193+-0.000000i   -25.148813+0.000000i
   415 :-3.003964+-0.000000i   -23.752968+-0.000000i
   416 :-10.082933+-0.000000i   -20.922886+0.000000i
   417 :-18.912226+-0.000000i   -17.190552+0.000000i
   418 :-26.559532+0.000000i   -12.849729+0.000000i
   419 :-30.118540+0.000000i   -7.999619+-0.000000i
   420 :-27.380465+-0.000000i   -2.672438+0.000000i
   421 :-17.382729+0.000000i   3.006545+-0.000000i
   422 :-0.711498+-0.000000i   8.679608+-0.000000i
   423 :20.517179+-0.000000i   13.694698+0.000000i
   424 :43.000629+0.000000i   17.148577+0.000000i
   425 :62.855976+-0.000000i   18.039240+0.000000i
   426 :76.381149+0.000000i   15.498254+0.000000i
   427 :80.803192+-0.000000i   9.046986+-0.000000i
   428 :74.874664+0.000000i   -1.190046+0.000000i
   429 :59.181377+0.000000i   -14.374062+-0.000000i
   430 :36.094566+0.000000i   -28.989986+-0.000000i
   431 :9.366983+-0.000000i   -43.036335+-0.000000i
   432 :-16.551069+0.000000i   -54.341476+0.000000i
   433 :-37.357616+-0.000000i   -60.951977+-0.000000i
   434 :-49.722286+0.000000i   -61.505527+-0.000000i
   435 :-51.942951+0.000000i   -55.517513+0.000000i
   436 :-44.285564+0.000000i   -43.512642+-0.000000i
   437 :-28.945152+-0.000000i   -26.970211+-0.000000i
   438 :-9.623826+-0.000000i   -8.091652+-0.000000i
   439 :9.190039+-0.000000i   10.563181+-0.000000i
   440 :23.113052+-0.000000i   26.506685+-0.000000i
   441 :28.740829+-0.000000i   37.722046+0.000000i
   442 :24.345978+-0.000000i   42.967541+0.000000i
   443 :10.250457+-0.000000i   41.918972+-0.000000i
   444 :-11.200411+-0.000000i   35.141068+0.000000i
   445 :-36.057278+-0.000000i   23.902252+0.000000i
   446 :-59.511173+0.000000i   9.883835+-0.000000i
   447 :-76.807869+0.000000i   -5.143880+-0.000000i
